x_t,y_t,x_t-1,y_t-1,a_x,a_y
-5.178257505946417538e-01,-1.263495499719408111e+00,-4.876201238392217086e-01,-1.274295074057674171e+00,-8.437059294501690898e-01,2.193428571453525100e-01,0.000000000000000000e+00
-5.563220209156024554e-01,-1.253330379776970593e+00,-5.259445704844368796e-01,-1.264979298012228970e+00,-8.238275945649567999e-01,2.441701944778291167e-01,0.000000000000000000e+00
-5.943050374239426947e-01,-1.242314717565057069e+00,-5.637699659792624329e-01,-1.254789421798472970e+00,-8.037398143414039575e-01,2.683872447715471843e-01,0.000000000000000000e+00
-6.317697612740522661e-01,-1.230469862363697375e+00,-6.010910521399699391e-01,-1.243746931893033425e+00,-7.834548232628926190e-01,2.919964280529073752e-01,0.000000000000000000e+00
-6.687114620208096660e-01,-1.217817071575963972e+00,-6.379028779329537491e-01,-1.231873229570267014e+00,-7.629846915392938245e-01,3.150003602870426467e-01,0.000000000000000000e+00
-7.051257133819859302e-01,-1.204377504020121670e+00,-6.742007953505994022e-01,-1.219189624003814698e+00,-7.423413235290147183e-01,3.374018484281878227e-01,0.000000000000000000e+00
-7.410083889628376053e-01,-1.190172213394856904e+00,-7.099804552475352803e-01,-1.205717325542415175e+00,-7.215364562591464193e-01,3.592038854917720125e-01,0.000000000000000000e+00
-7.763556579453568807e-01,-1.175222141916756113e+00,-7.452378031397340896e-01,-1.191477439159218665e+00,-7.005816580421975193e-01,3.804096456499744816e-01,0.000000000000000000e+00
-8.111639807446076045e-01,-1.159548114129169250e+00,-7.799690749688854563e-01,-1.176490958073770576e+00,-6.794883271879174069e-01,4.010224793520266173e-01,0.000000000000000000e+00
-8.454301046345605863e-01,-1.143170830881528932e+00,-8.141707928344293910e-01,-1.160778757545796847e+00,-6.582676908095639323e-01,4.210459084708745303e-01,0.000000000000000000e+00
-8.791510593457741995e-01,-1.126110863478151369e+00,-8.478397606956209476e-01,-1.144361588839860611e+00,-6.369308037219428842e-01,4.404836214776559067e-01,0.000000000000000000e+00
-9.123241526372615207e-01,-1.108388647995497633e+00,-8.809730600459284577e-01,-1.127260073359911852e+00,-6.154885474311666549e-01,4.593394686451608977e-01,0.000000000000000000e+00
-9.449469658448296228e-01,-1.090024479766822596e+00,-9.135680455620717177e-01,-1.109494696952710635e+00,-5.939516292137897446e-01,4.776174572819352204e-01,0.000000000000000000e+00
-9.770173494081509924e-01,-1.071038508033099967e+00,-9.456223407299391148e-01,-1.091085804379042123e+00,-5.723305812844055041e-01,4.953217469979778742e-01,0.000000000000000000e+00
-1.008533418378777746e+00,-1.051450730759056817e+00,-9.771338334496088018e-01,-1.072053593951615369e+00,-5.506357600498380522e-01,5.124566450036467380e-01,0.000000000000000000e+00
-1.039493547911295002e+00,-1.031280989613113208e+00,-1.008100671621644961e+00,-1.052418112338472378e+00,-5.288773454492182724e-01,5.290266014428606223e-01,0.000000000000000000e+00
-1.069896368739748693e+00,-1.010548965109991260e+00,-1.038521258716828211e+00,-1.032199249530703078e+00,-5.070653403775954304e-01,5.450362047615707750e-01,0.000000000000000000e+00
-1.099740762641461256e+00,-9.892741719146934676e-01,-1.068394249331413137e+00,-1.011416733973222071e+00,-4.852095701924484805e-01,5.604901771130825772e-01,1.000000000000000000e+00
-1.072205156828156536e+00,-9.632060623796170340e-01,-1.097718544729998413e+00,-9.900901278573123188e-01,1.760534728555111839e+00,6.969677950280525058e-01,1.000000000000000000e+00
-1.045263171653047829e+00,-9.367203834304983490e-01,-1.070662802150417425e+00,-9.639585316938376058e-01,1.737301543290755035e+00,7.088570330634577088e-01,1.000000000000000000e+00
-1.018913812985732470e+00,-9.098360803830084498e-01,-1.044190335177186180e+00,-9.374083491620922581e-01,1.714107266403802843e+00,7.202068509208239266e-01,1.000000000000000000e+00
-9.931558685017751742e-01,-8.825718816139606071e-01,-1.018300167004620560e+00,-9.104585717174263904e-01,1.690960437594605015e+00,7.310234253880759647e-01,1.000000000000000000e+00
-9.679879125115938843e-01,-8.549462953577599000e-01,-9.929911064354738359e-01,-8.831279733479970862e-01,1.667869407570128137e+00,7.413130244661894075e-01,1.000000000000000000e+00
-9.434083107789326128e-01,-8.269776066550026394e-01,-9.682617526256678264e-01,-8.554351073634152147e-01,1.644842338451418362e+00,7.510820030370869427e-01,1.000000000000000000e+00
-9.194152253271865582e-01,-7.986838744514276334e-01,-9.441104998187955788e-01,-8.273983033359133543e-01,1.621887204249081726e+00,7.603367985827562681e-01,1.000000000000000000e+00
-8.960066192319033895e-01,-7.700829288453899801e-01,-9.205355420686861523e-01,-7.990356641922323755e-01,1.599011791404344907e+00,7.690839269564251346e-01,1.000000000000000000e+00
-8.731802613977980299e-01,-7.411923684820027614e-01,-8.975348779483866002e-01,-7.703650634543912634e-01,1.576223699395105093e+00,7.773299782065944408e-01,1.000000000000000000e+00
-8.509337313186798868e-01,-7.120295580920845691e-01,-8.751063152439283455e-01,-7.414041426274828872e-01,1.553530341404775195e+00,7.850816124540338503e-01,1.000000000000000000e+00
-8.292644238187149019e-01,-6.826116261740073909e-01,-8.532474756313022102e-01,-7.121703087326272108e-01,1.530938945052740419e+00,7.923455558230553253e-01,1.000000000000000000e+00
-8.081695537734994161e-01,-6.529554628165437080e-01,-8.319557993350954472e-01,-6.826807319831741383e-01,1.508456553184534199e+00,7.991285964269275732e-01,1.000000000000000000e+00
-7.876461608094357247e-01,-6.230777176607706913e-01,-8.112285497672905299e-01,-6.529523436022479643e-01,1.486090024721024028e+00,8.054375804085661672e-01,1.000000000000000000e+00
-7.676911139799743600e-01,-5.929947979990904949e-01,-7.910628181447461049e-01,-6.230018337796879857e-01,1.463846035563878045e+00,8.112794080364859051e-01,1.000000000000000000e+00
-7.483011164172870266e-01,-5.627228670093991081e-01,-7.714555280839433538e-01,-5.928456497664396085e-01,1.441731079557054374e+00,8.166610298568193205e-01,1.000000000000000000e+00
-7.294727099580027296e-01,-5.322778421224179102e-01,-7.524034401715978815e-01,-5.624999941044218632e-01,1.419751469502001928e+00,8.215894429018110179e-01,1.000000000000000000e+00
-7.112022797416622799e-01,-5.016753935202051817e-01,-7.339031565097811072e-01,-5.319808229898833618e-01,1.397913338225406532e+00,8.260716869548133667e-01,1.000000000000000000e+00
-6.934860587805858900e-01,-4.709309427638282974e-01,-7.159511252342369847e-01,-5.013038447682567345e-01,1.376222639697977979e+00,8.301148408727545558e-01,1.000000000000000000e+00
-6.763201324998905362e-01,-4.400596615481836005e-01,-6.985436450046116352e-01,-4.704845185584891065e-01,1.354685150202778576e+00,8.337260189659435605e-01,1.000000000000000000e+00
-6.597004432464245172e-01,-4.090764705819341374e-01,-6.816768694653515537e-01,-4.395380530048286771e-01,1.333306469551721607e+00,8.369123674356336862e-01,1.000000000000000000e+00
-6.436227947654343806e-01,-3.779960385905217213e-01,-6.653468116760605788e-01,-4.084794051540352466e-01,1.312092022348476217e+00,8.396810608698052070e-01,1.000000000000000000e+00
-6.280828566437951510e-01,-3.468327814402072939e-01,-6.495493485101521136e-01,-3.773232794559640557e-01,1.291047059297109501e+00,8.420392987971818677e-01,1.000000000000000000e+00
-6.130761687187020748e-01,-3.156008613810812879e-01,-6.342802250206470704e-01,-3.460841268854726871e-01,1.270176658553871185e+00,8.439943022998607214e-01,1.000000000000000000e+00
-5.985981454507262045e-01,-2.843141864069803071e-01,-6.195350587720350743e-01,-3.147761441835880691e-01,1.249485727121893097e+00,8.455533106847030744e-01,1.000000000000000000e+00
-5.846440802601954312e-01,-2.529864097302458870e-01,-6.053093441371215633e-01,-2.834132732158640700e-01,1.228979002286598510e+00,8.467235782134940880e-01,1.000000000000000000e+00
-5.712091498258864419e-01,-2.216309293692402538e-01,-5.915984565578379373e-01,-2.520092004458611701e-01,1.208661053090763771e+00,8.475123708924635624e-01,1.000000000000000000e+00
-5.582884183450518290e-01,-1.902608878465508468e-01,-5.783976567690203296e-01,-2.205773565216576915e-01,1.188536281847783815e+00,8.479269633207126011e-01,1.000000000000000000e+00
-5.458768417538405471e-01,-1.588891719957983284e-01,-5.657020949841971014e-01,-1.891309159733193523e-01,1.168608925691807077e+00,8.479746355979973504e-01,1.000000000000000000e+00
-5.339692719072073324e-01,-1.275284128749639145e-01,-5.535068150424603539e-01,-1.576827970192365425e-01,1.148883058163256754e+00,8.476626702918582668e-01,1.000000000000000000e+00
-5.225604607174342275e-01,-9.619098578415005707e-02,-5.418067585155318389e-01,-1.262456614792408227e-01,1.129362590828691504e+00,8.469983494641463162e-01,1.000000000000000000e+00
-5.116450642504333235e-01,-6.488901038569482027e-02,-5.305967687741622862e-01,-9.483191479240885013e-02,1.110051274933130605e+00,8.459889517567579231e-01,1.000000000000000000e+00
-5.012176467790163681e-01,-3.363435092454565567e-02,-5.198715950130479158e-01,-6.345370613746909028e-02,1.090952703084332676e+00,8.446417495370013295e-01,1.000000000000000000e+00
-4.912726847923694073e-01,-2.438616546818601037e-03,-5.096258962334639930e-01,-3.212292865371242645e-02,1.072070310966823259e+00,8.429640061020120534e-01,1.000000000000000000e+00
-4.818045709609866112e-01,2.868683828554642601e-02,-4.998542451828658084e-01,-8.512197603272291923e-04,1.053407379085131046e+00,8.409629729426607581e-01,1.000000000000000000e+00
-4.728076180563621222e-01,5.973091328610830725e-02,-4.905511322507259409e-01,3.035003842793560641e-02,1.034967034534499675e+00,8.386458870665119969e-01,1.000000000000000000e+00
-4.642760628247639687e-01,9.068276174330394679e-02,-4.817109693199173592e-01,6.146971859084643386e-02,1.016752252798002187e+00,8.360199683799651726e-01,1.000000000000000000e+00
-4.562040698144490536e-01,1.215317898299517752e-01,-4.733280935729794470e-01,9.249694760061336063e-02,9.987658595687882723e-01,8.330924171292687364e-01,1.000000000000000000e+00
-4.485857351557082651e-01,1.522676558249485279e-01,-4.653967712526354550e-01,1.234211058297040031e-01,9.810105325962029665e-01,8.298704114004485932e-01,1.000000000000000000e+00
-4.414150902931632814e-01,1.828802692492174087e-01,-4.579112013759634725e-01,1.542318263706469739e-01,9.634888035545954299e-01,8.263611046778278624e-01,1.000000000000000000e+00
-4.346861056697658432e-01,2.133597899179582036e-01,-4.508655194016497059e-01,1.849189941698755058e-01,9.462030599335561343e-01,8.225716234609351529e-01,1.000000000000000000e+00
-4.283926943619815741e-01,2.436966269112550987e-01,-4.442538008497872171e-01,2.154727450776695585e-01,9.291555469484913399e-01,8.185090649399516805e-01,1.000000000000000000e+00
-4.225287156656704624e-01,2.738814374650663797e-01,-4.380700648737091973e-01,2.458834648162564751e-01,9.123483694702421154e-01,8.141804947287806238e-01,1.000000000000000000e+00
-4.170879786322027605e-01,3.039051257846382414e-01,-4.323082777833783252e-01,2.761417878681000637e-01,8.957834939727902235e-01,8.095929446562654119e-01,1.000000000000000000e+00
-4.120642455543854221e-01,3.337588417823544873e-01,-4.269623565198785720e-01,3.062385962864242472e-01,8.794627504975729426e-01,8.047534106147041788e-01,1.000000000000000000e+00
-4.074512354017924554e-01,3.634339797420391149e-01,-4.220261720805923988e-01,3.361650184299891375e-01,8.633878346337044984e-01,7.996688504657685215e-01,1.000000000000000000e+00
-4.032426272051312099e-01,3.929221769117062779e-01,-4.174935528946639995e-01,3.659124276241405571e-01,8.475603095126434949e-01,7.943461820032261533e-01,1.000000000000000000e+00
-3.994320633892966543e-01,4.222153120267481685e-01,-4.133582881483854887e-01,3.954724407501327144e-01,8.319816078164135043e-01,7.887922809723408868e-01,1.000000000000000000e+00
-3.960131530547970069e-01,4.513055037655434587e-01,-4.096141310601665864e-01,4.248369167647195743e-01,8.166530337982712551e-01,7.830139791457100262e-01,1.000000000000000000e+00
-3.929794752072628961e-01,4.801851091394404025e-01,-4.062548021047747704e-01,4.539979551520020307e-01,8.015757653146217132e-01,7.770180624547567971e-01,1.000000000000000000e+00
-3.903245819347723189e-01,5.088467218190788621e-01,-4.032739921865632904e-01,4.829478943094897558e-01,7.867508558673841357e-01,7.708112691771332736e-01,1.000000000000000000e+00
-3.880420015327561423e-01,5.372831703989821017e-01,-4.006653657614254183e-01,5.116793098703474874e-01,7.721792366556232690e-01,7.644002881791096549e-01,1.000000000000000000e+00
-3.861252415762735368e-01,5.654875166023463073e-01,-3.984225639072419556e-01,5.401850129637600917e-01,7.578617186353637791e-01,7.577917572128620716e-01,1.000000000000000000e+00
-3.845677919394683286e-01,5.934530534279395253e-01,-3.965392073426158848e-01,5.684580484153499702e-01,7.437989945868372921e-01,7.509922612681744214e-01,1.000000000000000000e+00
-3.833631277620466737e-01,6.211733032410065025e-01,-3.950088993937092008e-01,5.964916928895633852e-01,7.299916411879810996e-01,7.440083309781438947e-01,1.000000000000000000e+00
-3.825047123626393875e-01,6.486420158100558719e-01,-3.938252289090229397e-01,6.242794529759250199e-01,7.164401210932439534e-01,7.368464410783425178e-01,1.000000000000000000e+00
-3.819860000989335203e-01,6.758531662914020188e-01,-3.929817731219892307e-01,6.518150632210449880e-01,7.031447850169594282e-01,7.295130089192305434e-01,1.000000000000000000e+00
-3.818004391744878046e-01,7.028009531633057083e-01,-3.924721004612585773e-01,6.790924841082515151e-01,6.901058738200392950e-01,7.220143930311191394e-01,1.000000000000000000e+00
-3.819414743921619726e-01,7.294797961115466745e-01,-3.922897733086013194e-01,7.061058999867001473e-01,6.773235205993787256e-01,7.143568917413350983e-01,1.000000000000000000e+00
-3.824025498541191448e-01,7.558843338682452728e-01,-3.924283507043527797e-01,7.328497169517976806e-01,6.647977527789192820e-01,7.065467418430829705e-01,1.000000000000000000e+00
-3.831771116083805828e-01,7.820094220057303147e-01,-3.928813910003627896e-01,7.593185606787598019e-01,6.525284942014636380e-01,6.985901173155107946e-01,1.000000000000000000e+00
-3.842586102419303096e-01,8.078501306872334364e-01,-3.936424544604287812e-01,7.855072742111062212e-01,6.405155672206270800e-01,6.904931280944353045e-01,1.000000000000000000e+00
-3.856405034203962412e-01,8.334017423761734822e-01,-3.947051058082103325e-01,8.114109157058768673e-01,6.287586947917144231e-01,6.822618188933413652e-01,1.000000000000000000e+00
-3.873162583743482434e-01,8.586597495057736174e-01,-3.960629167226514258e-01,8.370247561373381773e-01,6.172575025610531618e-01,6.739021680738959130e-01,1.000000000000000000e+00
-3.892793543322783933e-01,8.836198521107366810e-01,-3.977094682809496629e-01,8.623442769609237502e-01,6.060115209527369151e-01,6.654200865657041719e-01,1.000000000000000000e+00
-3.915232849003464355e-01,9.082779554226855234e-01,-3.996383533491369433e-01,8.873651677391424242e-01,5.950201872521356794e-01,6.568214168345717363e-01,1.000000000000000000e+00
-3.940415603889953489e-01,9.326301674310540912e-01,-4.018431789203530391e-01,9.120833237311625208e-01,5.842828476853052511e-01,6.481119318988313172e-01,1.000000000000000000e+00
-3.968277100865585938e-01,9.566727964110967042e-01,-4.043175684009153725e-01,9.364948434477624595e-01,5.737987594936226898e-01,6.392973343930937746e-01,1.000000000000000000e+00
-3.998752844800031458e-01,9.804023484206623174e-01,-4.070551638443040132e-01,9.605960261733201833e-01,5.635670930028054970e-01,6.303832556789220609e-01,1.000000000000000000e+00
-4.031778574229658574e-01,1.003815524767361689e+00,-4.100496281332036697e-01,9.843833694564904091e-01,5.535869336857344170e-01,6.213752550018170062e-01,1.000000000000000000e+00
-4.067290282512626143e-01,1.026909219447730059e+00,-4.132946471097577734e-01,1.007853566571202730e+00,5.438572842182836098e-01,6.122788186939333022e-01,1.000000000000000000e+00
-4.105224238460676855e-01,1.049680516559977628e+00,-4.167839316542107930e-01,1.031003503949590616e+00,5.343770665273946952e-01,6.030993594219562492e-01,1.000000000000000000e+00
